file name,contrast,gradient std,product
288,0.735849,16.575312,12.196925
289,0.320755,21.105362,6.769644
290,0.223022,22.557522,5.030814
291,0.984436,61.583752,60.625244
292,0.240876,12.958164,3.121310
293,0.466135,13.545379,6.313981
294,0.365854,11.522891,4.215692
295,0.217105,10.890202,2.364320
296,0.703703,18.731382,13.181338
297,0.336134,17.747120,5.965418
298,0.384615,10.160496,3.907882
299,0.476440,15.344587,7.310772
300,0.087087,28.310673,2.465494
301,0.501520,46.508873,23.325117
302,0.357664,29.416332,10.521169
303,0.508982,22.035149,11.215494
304,0.472000,19.610661,9.256231
305,0.760000,11.486344,8.729621
306,0.602837,18.223167,10.985597
307,0.527472,18.581591,9.801278
308,0.440000,13.296794,5.850589
309,0.490000,18.383478,9.007904
310,0.356322,12.429864,4.429032
311,0.983740,68.738136,67.620438
312,0.350993,12.963463,4.550089
313,0.649351,13.615950,8.841525
314,0.544973,15.860525,8.643566
315,0.810811,18.876394,15.305183
316,0.449541,12.005459,5.396949
317,0.488372,18.855827,9.208659
318,0.515151,16.152740,8.321108
319,0.801980,29.331739,23.523472
320,0.766667,11.738968,8.999875
321,0.433121,24.706896,10.701076
322,0.452381,19.079548,8.631224
323,0.246944,14.475173,3.574553
